capability_id,capability_name,recommended_screen,recommended_feature,required_binding,endpoint,data_state,source_path,binding_status
CAP-235EF538DEF9,Auth Reset,AUTHENTICATION,Authentication and account access,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/api/v1/frontend_contract.py,ENDPOINT_AVAILABLE
CAP-2CD69A7EA838,Frontend Contract,AUTHENTICATION,Authentication and account access,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/api/v1/frontend_contract.py,ENDPOINT_AVAILABLE
CAP-C8C94E7A8122,Frontend Contract,AUTHENTICATION,Authentication and account access,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/api/v1/frontend_contract.py,ENDPOINT_AVAILABLE
CAP-D0B86CD5E331,Frontend Contract,AUTHENTICATION,Authentication and account access,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/api/v1/frontend_contract.py,ENDPOINT_AVAILABLE
CAP-862CD297F1FD,Frontend Contract,AUTHENTICATION,Authentication and account access,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/api/v1/frontend_contract.py,ENDPOINT_AVAILABLE
CAP-2B9AC68DB1D6,Assert No Decision Mutation,DECISION_ROOM,Decision intelligence workspace,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/support_layers/scenario/scenario_engine.py,ENDPOINT_AVAILABLE
CAP-3965B46743DE,Frontend Contract,DECISION_ROOM,Decision intelligence workspace,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/api/v1/frontend_contract.py,ENDPOINT_AVAILABLE
CAP-935E1E26D22F,Dqsrisk State,QUALITY_AND_RISK,Decision quality and risk controls,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/support_layers/quality/decision_quality_stack.py,ENDPOINT_AVAILABLE
CAP-B89CF4208B10,Grade From Score,QUALITY_AND_RISK,Decision quality and risk controls,"Bind verified API response to visible component with loading, empty, stale, and error states",/admin/plan-features/:id,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/backend/app/support_layers/quality/decision_quality_stack.py,ENDPOINT_AVAILABLE
CAP-C84121300635,Tdl V2 Policy Admin,QUALITY_AND_RISK,Decision quality and risk controls,"Bind verified API response to visible component with loading, empty, stale, and error states",/api/admin-actions/users/action/health,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ENDPOINT_AVAILABLE
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,QUALITY_AND_RISK,Decision quality and risk controls,"Bind verified API response to visible component with loading, empty, stale, and error states",/api/admin-actions/users/action/health,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ENDPOINT_AVAILABLE
CAP-93DD0F3859D4,Tdl V2 Policy Admin,QUALITY_AND_RISK,Decision quality and risk controls,"Bind verified API response to visible component with loading, empty, stale, and error states",/api/admin-actions/users/action/health,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ENDPOINT_AVAILABLE
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,QUALITY_AND_RISK,Decision quality and risk controls,"Bind verified API response to visible component with loading, empty, stale, and error states",/api/admin-actions/users/action/health,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ENDPOINT_AVAILABLE
CAP-AA4ECF6DF3F8,Tdl V2 Policy Admin,QUALITY_AND_RISK,Decision quality and risk controls,"Bind verified API response to visible component with loading, empty, stale, and error states",/api/admin-actions/users/action/health,REAL_LIVE|REAL_SNAPSHOT,/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ENDPOINT_AVAILABLE
