capability_id,capability_name,selected_route,selected_route_source,accepted_probe_url,accepted_http_status,original_missing_evidence,resolved_evidence,remaining_missing_evidence
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,,,,,REAL_DATA,,REAL_DATA
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,,,,,REAL_DATA,,REAL_DATA
CAP-15C56B60B4B0,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-214521E6EBD1,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-242D8324FAD9,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-3A5ED3DB0C0D,Risk Label,GET /risk_state,backend/app/support_layers/scenario/scenario_engine.py:105,http://127.0.0.1:443/risk_state,400,ENDPOINT,ENDPOINT,
CAP-3B89863B2015,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-3D9086A829ED,Ndsp Admin Ui Proxy,GET /api/admin-ui/alerts,backend/ndsp_admin_ui_proxy.cjs:486,http://127.0.0.1:443/api/admin-ui/alerts,400,ENDPOINT,ENDPOINT,
CAP-4B75FD38F852,Ndsp Admin Ui Proxy,GET /api/admin-ui/alerts,backend/ndsp_admin_ui_proxy.cjs:486,http://127.0.0.1:443/api/admin-ui/alerts,400,ENDPOINT,ENDPOINT,
CAP-4FCAA631BA18,Ndsp Admin Actions Bypass Old Middleware,GET /api/admin-actions/users/action/health,backend/ndsp_admin_actions_bypass_old_middleware.cjs:225,http://127.0.0.1:443/api/admin-actions/users/action/health,400,ENDPOINT,ENDPOINT,
CAP-644C81537AC6,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-6565FE804AF5,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-8F78E58E5656,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-98156F574B28,Risk Warnings,GET /risk_state,backend/app/support_layers/scenario/scenario_engine.py:105,http://127.0.0.1:443/risk_state,400,ENDPOINT,ENDPOINT,
CAP-A61CF5BBAA01,Ndsp Admin Ui Proxy,GET /api/admin-ui/alerts,backend/ndsp_admin_ui_proxy.cjs:486,http://127.0.0.1:443/api/admin-ui/alerts,400,ENDPOINT,ENDPOINT,
CAP-C55DEBBD7CB7,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-D054F1321201,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-E6FFD507C6FA,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-F139426B5341,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
CAP-F56AB637F669,Ndsp User Login Gateway,GET /api/auth/2fa/status,backend/ndsp_user_login_gateway.cjs:407,http://127.0.0.1:443/api/auth/2fa/status,400,ENDPOINT,ENDPOINT,
